"","Rank","Title","Runtime","Genre","Rating","Metascore","Votes","Director","Actor","Gross"
"1",1,"Star Wars: Episode IV - A New Hope","121 min","Action, Adventure, Fantasy",8.6,90,1275232,"George Lucas","Mark Hamill","$322.74M"
"2",2,"Close Encounters of the Third Kind","138 min","Drama, Sci-Fi",7.6,90,191708,"Steven Spielberg","Richard Dreyfuss","$132.09M"
"3",3,"Smokey and the Bandit","96 min","Action, Adventure, Comedy",7,50,47787,"Hal Needham","Burt Reynolds","$126.74M"
"4",4,"The Goodbye Girl","111 min","Comedy, Drama, Romance",7.4,64,13311,"Herbert Ross","Richard Dreyfuss","$102.00M"
"5",5,"Saturday Night Fever","118 min","Drama, Music",6.8,77,75668,"John Badham","John Travolta","$94.21M"
"6",6,"The Rescuers","78 min","Animation, Adventure, Comedy",6.9,74,60837,"John Lounsbery","Bob Newhart","$71.22M"
"7",7,"A Bridge Too Far","175 min","Drama, History, War",7.4,63,54400,"Richard Attenborough","Sean Connery","$50.80M"
"8",8,"The Spy Who Loved Me","125 min","Action, Adventure, Thriller",7.1,55,102473,"Lewis Gilbert","Roger Moore","$46.80M"
"9",9,"Oh, God!","98 min","Comedy, Fantasy",6.6,56,9204,"Carl Reiner","John Denver","$41.69M"
"10",10,"Pete's Dragon","128 min","Animation, Adventure, Comedy",6.4,46,23488,"Don Chaffey","Sean Marshall","$40.10M"
"11",11,"Annie Hall","93 min","Comedy, Romance",8,92,257852,"Woody Allen","Woody Allen","$39.20M"
"12",12,"Semi-Tough","108 min","Comedy, Romance, Sport",5.9,68,2913,"Michael Ritchie","Burt Reynolds","$37.19M"
"13",13,"The Gauntlet","109 min","Action, Crime, Thriller",6.4,59,22094,"Clint Eastwood","Clint Eastwood","$35.40M"
"14",14,"The Turning Point","119 min","Drama, Romance",6.9,68,4462,"Herbert Ross","Anne Bancroft","$33.60M"
"15",15,"Heroes","112 min","Comedy, Drama",6.1,35,1758,"Jeremy Kagan","Henry Winkler","$33.50M"
"16",16,"High Anxiety","94 min","Comedy, Mystery, Thriller",6.7,55,20897,"Mel Brooks","Mel Brooks","$31.06M"
"17",17,"Exorcist II: The Heretic","117 min","Horror",3.8,39,23381,"John Boorman","Richard Burton","$30.75M"
"18",18,"Airport '77","114 min","Action, Drama, Thriller",5.7,36,10258,"Jerry Jameson","Jack Lemmon","$30.00M"
"19",19,"Slap Shot","123 min","Comedy, Drama, Sport",7.3,61,35611,"George Roy Hill","Paul Newman","$28.00M"
"20",20,"The Hills Have Eyes","90 min","Horror, Thriller",6.3,64,32487,"Wes Craven","Susan Lanier","$25.00M"
"21",21,"The Other Side of Midnight","165 min","Drama, Romance, Thriller",6.1,NA,1703,"Charles Jarrott","Marie-France Pisier","$24.65M"
"22",22,"For the Love of Benji","85 min","Adventure, Comedy, Drama",6,46,1127,"Joe Camp","Patsy Garrett","$22.26M"
"23",23,"The World's Greatest Lover","89 min","Comedy",5.8,NA,2031,"Gene Wilder","Gene Wilder","$21.58M"
"24",24,"The Bad News Bears in Breaking Training","100 min","Comedy, Family, Sport",5.6,47,3176,"Michael Pressman","William Devane","$19.10M"
"25",25,"Which Way Is Up?","94 min","Comedy",6.3,NA,1719,"Michael Schultz","Richard Pryor","$17.00M"
"26",26,"Kingdom of the Spiders","97 min","Horror, Sci-Fi",5.8,NA,4909,"John 'Bud' Cardos","William Shatner","$17.00M"
"27",27,"Looking for Mr. Goodbar","136 min","Drama",6.7,64,7183,"Richard Brooks","Diane Keaton","$16.90M"
"28",28,"Sinbad and the Eye of the Tiger","113 min","Action, Adventure, Family",6.4,NA,7407,"Sam Wanamaker","Patrick Wayne","$16.79M"
"29",29,"New York, New York","155 min","Drama, Music, Musical",6.6,64,19250,"Martin Scorsese","Liza Minnelli","$16.40M"
"30",30,"Black Sunday","143 min","Adventure, Crime, Drama",6.8,57,7376,"John Frankenheimer","Robert Shaw","$15.77M"
"31",31,"Orca","92 min","Adventure, Drama, Horror",5.7,27,11305,"Michael Anderson","Richard Harris","$14.72M"
"32",32,"Sorcerer","121 min","Adventure, Drama, Thriller",7.7,68,19800,"William Friedkin","Roy Scheider","$12.00M"
"33",33,"Bobby Deerfield","124 min","Drama, Romance",5.9,47,4040,"Sydney Pollack","Al Pacino","$9.30M"
"34",34,"Wizards","80 min","Animation, Adventure, Fantasy",6.5,NA,11203,"Ralph Bakshi","Bob Holt","$9.00M"
"35",35,"The Island of Dr. Moreau","99 min","Adventure, Fantasy, Horror",5.9,NA,6156,"Don Taylor","Burt Lancaster","$8.72M"
"36",36,"Damnation Alley","91 min","Sci-Fi",5.3,NA,5138,"Jack Smight","Jan-Michael Vincent","$8.72M"
"37",37,"Islands in the Stream","104 min","Drama",6.5,NA,1423,"Franklin J. Schaffner","George C. Scott","$8.00M"
"38",38,"Eraserhead","89 min","Fantasy, Horror",7.4,87,108889,"David Lynch","Jack Nance","$7.00M"
"39",39,"The Deep","123 min","Adventure, Mystery, Thriller",6.2,41,11873,"Peter Yates","Jacqueline Bisset","$6.84M"
"40",40,"Thunder and Lightning","95 min","Action, Adventure, Comedy",5.3,NA,461,"Corey Allen","David Carradine","$6.76M"
"41",41,"Race for Your Life, Charlie Brown","76 min","Animation, Adventure, Comedy",7.3,55,3379,"Bill Melendez","Duncan Watson","$3.22M"
"42",42,"March or Die","107 min","Adventure, Drama, Romance",6.3,NA,3318,"Dick Richards","Gene Hackman","$1.00M"
"43",43,"Joseph Andrews","99 min","Adventure, Comedy, Drama",5.7,NA,562,"Tony Richardson","Ann-Margret","$0.84M"
"44",44,"Citizens Band","98 min","Comedy, Drama",6.5,68,775,"Jonathan Demme","Paul Le Mat","$0.82M"
"45",45,"The Van","92 min","Comedy",4.6,NA,886,"Sam Grossman","Stuart Goetz","$0.35M"
"46",46,"The Duellists","100 min","Drama, War",7.4,70,22309,"Ridley Scott","Keith Carradine","$0.20M"
"47",47,"That Obscure Object of Desire","103 min","Comedy, Drama",7.9,84,21867,"Luis Buñuel","Fernando Rey","$0.06M"
"48",48,"The Devil, Probably","95 min","Drama",7.2,NA,3737,"Robert Bresson","Antoine Monnier","$0.03M"
"49",49,"One Sings, the Other Doesn't","120 min","Drama, History",7.4,NA,1658,"Agnès Varda","Thérèse Liotard","$0.02M"
"50",50,"The Mighty Peking Man","90 min","Action, Adventure, Horror",5.3,NA,1788,"Meng-Hua Ho","Evelyne Kraft","$0.02M"
"51",1,"Grease","110 min","Musical, Romance",7.2,70,252904,"Randal Kleiser","John Travolta","$188.76M"
"52",2,"Superman","143 min","Action, Adventure, Drama",7.3,81,166588,"Richard Donner","Christopher Reeve","$134.22M"
"53",3,"Every Which Way but Loose","114 min","Action, Comedy",6.3,41,25746,"James Fargo","Clint Eastwood","$106.00M"
"54",4,"Jaws 2","116 min","Adventure, Horror, Thriller",5.8,51,74993,"Jeannot Szwarc","Roy Scheider","$102.92M"
"55",5,"Heaven Can Wait","101 min","Comedy, Fantasy, Romance",6.9,72,19864,"Warren Beatty","Warren Beatty","$81.64M"
"56",6,"Hooper","99 min","Action, Comedy",6.4,70,6344,"Hal Needham","Burt Reynolds","$78.00M"
"57",7,"The Deer Hunter","183 min","Drama, War",8.1,86,324127,"Michael Cimino","Robert De Niro","$48.98M"
"58",8,"Halloween","91 min","Horror, Thriller",7.7,87,243269,"John Carpenter","Donald Pleasence","$47.00M"
"59",9,"Convoy","110 min","Action, Drama",6.3,47,16050,"Sam Peckinpah","Kris Kristofferson","$45.00M"
"60",10,"Foul Play","116 min","Comedy, Mystery, Thriller",6.8,45,14539,"Colin Higgins","Goldie Hawn","$45.00M"
"61",11,"Up in Smoke","86 min","Comedy, Music",6.9,57,37379,"Lou Adler","Cheech Marin","$44.36M"
"62",12,"Midnight Express","121 min","Biography, Crime, Drama",7.6,59,76456,"Alan Parker","Brad Davis","$35.00M"
"63",13,"Coming Home","127 min","Drama, Romance, War",7.3,61,13046,"Hal Ashby","Jane Fonda","$32.65M"
"64",14,"House Calls","98 min","Comedy, Drama, Romance",6.7,49,1842,"Howard Zieff","Walter Matthau","$28.46M"
"65",15,"Magic","107 min","Drama, Horror",6.8,49,10286,"Richard Attenborough","Anthony Hopkins","$25.94M"
"66",16,"Invasion of the Body Snatchers","115 min","Horror, Sci-Fi",7.4,75,56156,"Philip Kaufman","Donald Sutherland","$24.95M"
"67",17,"An Unmarried Woman","124 min","Comedy, Drama, Romance",7.2,79,5123,"Paul Mazursky","Jill Clayburgh","$24.00M"
"68",18,"The Wiz","134 min","Adventure, Family, Fantasy",5.5,53,14557,"Sidney Lumet","Diana Ross","$21.05M"
"69",19,"Ice Castles","108 min","Drama, Romance, Sport",6.6,51,3383,"Donald Wrye","Lynn-Holly Johnson","$20.71M"
"70",20,"La Cage aux Folles","97 min","Comedy",7.3,NA,10377,"Édouard Molinaro","Ugo Tognazzi","$20.42M"
"71",21,"F.I.S.T.","145 min","Crime, Drama, Thriller",6.4,54,7637,"Norman Jewison","Sylvester Stallone","$20.39M"
"72",22,"Sgt. Pepper's Lonely Hearts Club Band","113 min","Adventure, Comedy, Fantasy",4.2,27,6361,"Michael Schultz","Peter Frampton","$20.38M"
"73",23,"Eyes of Laura Mars","104 min","Mystery, Thriller",6.2,49,9687,"Irvin Kershner","Faye Dunaway","$20.00M"
"74",24,"Same Time, Next Year","119 min","Comedy, Drama, Romance",7.2,NA,5930,"Robert Mulligan","Alan Alda","$19.70M"
"75",25,"The Boys from Brazil","125 min","Drama, Mystery, Sci-Fi",7,40,26894,"Franklin J. Schaffner","Gregory Peck","$19.00M"
